pmid,model,comment,Q-1-b-3,Q-1-c-3,Q-2-b-3,Q-2-c-3,Q-3-b-3,Q-3-c-3,Q-4-b-3,Q-4-c-3,Q-5-b-3,Q-5-c-3
37925898,gpt-4-1,,Broad COVID19 category,,,,,,More details on dataset,,,
37925898,gpt-4o,,,,provides subcategories of main outcome,,,,More details on dataset,,,Did not extract any result
37925898,gpt-5,,,,provides subcategories of main outcome,,,,More details on dataset,,,
37925898,gpt-5-mini,,,,provides subcategories of main outcome,,Includes replication analysis,,More details on dataset,,,
35726641,llama3,,,,,,,,Details on dataset,,,
35726641,llama3-2,,,,,,,,Details on dataset,,,
35726641,deepseek-r1,,,,,,,,Details on dataset,,,
35726641,o4-mini,,,,,,,,More details on dataset,,,
35726641,gpt-4-1,,,,,,,,More details on dataset,,,
35726641,gpt-4o,,,,,,Includes other category,,More details on dataset,,,
35726641,gpt-5,,,,,,,,More details on dataset,,,
35726641,gpt-5-mini,,,,,,,,More details on dataset,,,
35594314,llama3,,,,,,,,More details on dataset,,,
35594314,llama3-2,,,,,,,,More details on dataset,,,
35594314,deepseek-r1,,,,,,,,More details on dataset,,,
35594314,o4-mini,,,,,,,,More details on dataset,,,
35594314,gpt-4-1,,,,,,,,More details on dataset,,,
35594314,gpt-4o,,,,,,,,More details on dataset,,,
35594314,gpt-5,,,,,,,,More details on dataset,,,
35594314,gpt-5-mini,,,,,,,,More details on dataset,,,
38030236,llama3,,,,,,,,No specific population and characetristics of dataset are limited,,,
38030236,llama3-2,,,,,,,,No specific population and characetristics of dataset are limited,,,
38030236,deepseek-r1,,,,,,,,No specific population and characetristics of dataset are limited,,,
38030236,o4-mini,,Includes subcategories,,,,includes other event mining ,,No specific population and characetristics of dataset are limited,,,Did not extract anay result
38030236,gpt-4-1,,,,,,includes other event mining ,,No specific population and characetristics of dataset are limited,,,
38030236,gpt-4o,,,,,,,,No specific population and characetristics of dataset are limited,,,
38030236,gpt-5,,Includes subcategories,,,,includes other event mining ,,No specific population and characetristics of dataset are limited,,,
38030236,gpt-5-mini,,Includes subcategories,,,,includes other event mining ,,No specific population and characetristics of dataset are limited,,,
37718242,llama3,,Includes subcategories,,Includes the subcategories,,,,No specific population and characetristics of dataset are limited,,,
37718242,llama3-2,,,,,,,,No specific population and characetristics of dataset are limited,,,
37718242,deepseek-r1,,,,,,Did not extract at all,Missing all methods,No specific population and characetristics of dataset are limited,Did not extract population results,,
37718242,o4-mini,,Includes subcategories,,Includes the subcategories,,,,No specific population and characetristics of dataset are limited,,,
37718242,gpt-4-1,,Includes subcategories,,Includes the subcategories,,,Missing a few sensitivity methods,No specific population and characetristics of dataset are limited,,,
37718242,gpt-4o,,Includes subcategories,,Includes the subcategories,,,Missing subcategories,No specific population and characetristics of dataset are limited,,,
37718242,gpt-5,,Includes subcategories,,Includes the subcategories,,,,No specific population and characetristics of dataset are limited,,,
37718242,gpt-5-mini,,Includes subcategories,,Includes the subcategories,,,,No specific population and characetristics of dataset are limited,,,
32714368,llama3,,,,,,,,No specific population and characetristics of dataset are limited,,,
32714368,llama3-2,,,,,,,,No specific population and characetristics of dataset are limited,,,
32714368,deepseek-r1,,,Just presents the blanket exposure from title,,extracted the blanket outcome in title,,missing sensitivity methods,No specific population and characetristics of dataset are limited,,,
32714368,o4-mini,,,,,,,,No specific population and characetristics of dataset are limited,,,
32714368,gpt-4-1,,,,,,,,No specific population and characetristics of dataset are limited,,,
32714368,gpt-4o,,,,,,,missing sensitivity methods,No specific population and characetristics of dataset are limited,,,
32714368,gpt-5,,,,,,,,No specific population and characetristics of dataset are limited,,,
32714368,gpt-5-mini,,,,,,,,No specific population and characetristics of dataset are limited,,,
35011056,llama3,,,,,,,,More details on dataset,,,
35011056,llama3-2,,,,,,,,More details on dataset,,,
35011056,deepseek-r1,,,,,,,,More details on dataset,,,
35011056,o4-mini,,,,,,,,More details on dataset,,,
35011056,gpt-4-1,,,,,,,,More details on dataset,,,
35011056,gpt-4o,,,,,,,,More details on dataset,,,
35011056,gpt-5,,,,,,,,More details on dataset,,,
35011056,gpt-5-mini,,,,,,,,More details on dataset,,,
34023889,llama3,,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
34023889,llama3-2,,,,,,,,More details on dataset,,,
34023889,deepseek-r1,,,,,Missing one outcome,,,More details on dataset,,,
34023889,o4-mini,,,,,,,,More details on dataset,,,
34023889,gpt-4-1,,,,,,,,More details on dataset,,,
34023889,gpt-4o,,,,,,No details on other category,,More details on dataset,,,
34023889,gpt-5,,,,,,,,More details on dataset,,,
34023889,gpt-5-mini,,,,,,,,More details on dataset,,,
36936171,llama3,,,,,,,,,,,
36936171,llama3-2,,Includes exposure supercategory,,,,,,,,,
36936171,deepseek-r1,,,,,,,,,,,
36936171,o4-mini,,,,,,,,More details on dataset,,,
36936171,gpt-4-1,,,,,,,,More details on dataset,,,
36936171,gpt-4o,,,Missing subcategories,,,,,More details on dataset,,,
36936171,gpt-5,,,,,,,,More details on dataset,,,
36936171,gpt-5-mini,,,,,,,,More details on dataset,,,
36738839,llama3,,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
36738839,llama3-2,,Includes mediators,,,,,,No specific ancestry but some general dataset charecteristics,,,
36738839,deepseek-r1,,includes mediators,,,,,,No specific ancestry but some general dataset charecteristics,,,
36738839,o4-mini,,,,,,,,,,,
36738839,gpt-4-1,,,,,,,,,,,
36738839,gpt-4o,,,,,,,,,,,
36738839,gpt-5,,,,,,,,,,,
36738839,gpt-5-mini,,,,,,,,,,,
37822602,llama3,,,,,,,,No specific ancestry but some general dataset charecteristics,,,
37822602,llama3-2,,,,,,,,No specific ancestry but some general dataset charecteristics,,,
37822602,deepseek-r1,,,,,Missing some two outcomes,,,No specific ancestry but some general dataset charecteristics,,,
37822602,o4-mini,,includes subcategories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
37822602,gpt-4-1,,includes subcategories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
37822602,gpt-4o,,,,includes broad category,,,,No specific ancestry but some general dataset charecteristics,,,
37822602,gpt-5,,includes subcategories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
37822602,gpt-5-mini,,includes subcategories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
32529581,llama3,,,,,,,,No specific ancestry but some general dataset charecteristics,,,
32529581,llama3-2,,,,,,,,No specific ancestry but some general dataset charecteristics,,,
32529581,deepseek-r1,,,,,,,,No specific ancestry but some general dataset charecteristics,,,
32529581,o4-mini,,includes subcategories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
32529581,gpt-4-1,,Broad categories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
32529581,gpt-4o,,Broad categories,,,,,,No specific ancestry but some general dataset charecteristics,,,
32529581,gpt-5,,includes subcategories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
32529581,gpt-5-mini,,includes subcategories,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
36793015,llama3,,,,,Does not report outcome subcategories,,,No specific ancestry but some general dataset charecteristics,,,
36793015,llama3-2,,,,,,,,No specific ancestry but some general dataset charecteristics,,,
36793015,deepseek-r1,,,,,Did not extract instead the outcome is classified under exposure,,,No specific ancestry but some general dataset charecteristics,,,
36793015,o4-mini,Bidirectional MR,,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
36793015,gpt-4-1,Bidirectional MR,,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
36793015,gpt-4o,Extracted exposure and outcome for forward MR only,,,,Does not extract subcategories of the outcome,,,No specific ancestry and empty list,,,
36793015,gpt-5,Bidirectional MR,,,,Includes subcategories,,,No specific ancestry but more details on general dataset charecteristics,,,
36793015,gpt-5-mini,Bidirectional MR,,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
36909950,llama3,,Reports the exposure super category,missing exposure subcategories,,,,,No specific ancestry and empty list,,,
36909950,llama3-2,,,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
36909950,deepseek-r1,,,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
36909950,o4-mini,,,,,,,,,,,
36909950,gpt-4-1,,,,,,,,,,,
36909950,gpt-4o,,,,,,,,,,,
36909950,gpt-5,,,,,,,,,,,
36909950,gpt-5-mini,,,,,,,,,,,
36514134,llama3,,,,,,,,European and East Asian ,,,
36514134,llama3-2,,,,,,,,European and East Asian ,,,
36514134,deepseek-r1,,,,,missing overall cancer outcome,,,European and East Asian ,,,
36514134,o4-mini,,,,,,,,European and East Asian and more details,,,
36514134,gpt-4-1,,,,,,,,European and East Asian and more details,,,
36514134,gpt-4o,,,,,missing overall cancer outcome,,,European and East Asian ,,,
36514134,gpt-5,,,,,,,,European and East Asian and more details,,,
36514134,gpt-5-mini,,,,,,,,European and East Asian and more details,,,
37829610,llama3,,,,,,,,Details on dataset,,none,
37829610,llama3-2,,,,,,,,Details on dataset,,none,
37829610,deepseek-r1,,,,,,Did not extract at all,,,Did not extract population,none,
37829610,o4-mini,,,,,,,,Details on dataset,,,
37829610,gpt-4-1,,,,,,,,Details on dataset,,,
37829610,gpt-4o,,,,,,,,Empty list,,,
37829610,gpt-5,,,,,,,,Details on dataset,,,
37829610,gpt-5-mini,,,,,,,,Details on dataset,,,
38782862,llama3,,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
38782862,llama3-2,,,,includes outcome supercategory,,,,Details on dataset,,,
38782862,deepseek-r1,,,,,Missing out one outcome ,,Missing sensitivity methods,No information provided,,,
38782862,o4-mini,,BMI is a mediator,,,Missing out one outcome ,,,Details on dataset,,,
38782862,gpt-4-1,,,,includes outcome supercategory,,,,Details on dataset,,,
38782862,gpt-4o,,,,includes outcome supercategory,,,,Details on dataset,,,
38782862,gpt-5,,BMI is a mediator,,includes outcome supercategory,,,none,Details on dataset,,,
38782862,gpt-5-mini,,BMI is a mediator,,includes outcome supercategory,,,,Details on dataset,,,
35761866,llama3,,,,,,,,East Asian,,,
35761866,llama3-2,,,,,,,,East Asian,,,
35761866,deepseek-r1,,,,,,,,East Asian,,,
35761866,o4-mini,Bidirectional MR,,,,,,,East Asian,,,
35761866,gpt-4-1,Bidirectional MR,,,,,,,East Asian,,,
35761866,gpt-4o,,,,,,,,East Asian,,,
35761866,gpt-5,Bidirectional MR,,,,,,,East Asian,,,
35761866,gpt-5-mini,Bidirectional MR,,,,,,,East Asian,,,
37409643,llama3,,,,,,,,European,,,
37409643,llama3-2,,,,,,,,European,,,
37409643,deepseek-r1,,,,,,,,European,,,
37409643,o4-mini,,Broad and subcategories only with regard to bidirectional MR,,Broad and subcategories only with regard to bidirectional MR,,,,European,,,
37409643,gpt-4-1,,Broad categories only with regard to bidirectional MR,,Broad categories only with regard to bidirectional MR,,,,European,,,
37409643,gpt-4o,,Broad categories only with regard to bidirectional MR,,Broad categories only with regard to bidirectional MR,,,,European,,,
37409643,gpt-5,,Broad and subcategories only with regard to bidirectional MR,,Broad and subcategories only with regard to bidirectional MR,,,,European,,,
37409643,gpt-5-mini,,Broad and subcategories only with regard to bidirectional MR,,Broad and subcategories only with regard to bidirectional MR,,,,European,,,
32433745,llama3,,,,,,,,Details on dataset,,,
32433745,llama3-2,,,,,,,,Details on dataset,,,
32433745,deepseek-r1,,,,,,,,Details on dataset,,,
32433745,o4-mini,,,,,,,,Details on dataset,,,
32433745,gpt-4-1,,,,,,,,Details on dataset,,,
32433745,gpt-4o,,,,,,,,Details on dataset,,,
32433745,gpt-5,,,,,,,,More details on dataset,,,
32433745,gpt-5-mini,,,,,,,,More details on dataset,,,
33657885,llama3,Hallucinated on the same content,No abstract but responde1d with incorrect information,No proper data for this paper,No proper details,Hallucinated results,No proper details,Hallucinated results,missing abstract,No abstarct and returned empty lists,No abstract,
33657885,llama3-2,Hallucinated on the same content,No abstract but responde1d with incorrect information,No proper data for this paper,No proper details,Hallucinated results,No proper details,Hallucinated results,No proper details,Hallucinated results,No abstract,Hallucinated results
33657885,deepseek-r1,Hallucinated on the same content,No abstract,No proper data for this paper,No proper details,Hallucinated results,No proper details,Hallucinated results,missing abstract,No abstarct and returned empty lists,No abstract,Hallucinated results
33657885,o4-mini,,No abstract,Missing abstract,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists
33657885,gpt-4-1,,No abstract,Missing abstract,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists
33657885,gpt-4o,,No abstract,Missing abstract,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists
33657885,gpt-5,,No abstract,Missing abstract,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists
33657885,gpt-5-mini,,No abstract,Missing abstract,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists,missing abstract,No abstarct and returned empty lists
38746746,llama3,,,,,,,,Not known ancestry,,,
38746746,llama3-2,,,,,,,,Not known ancestry,,,
38746746,deepseek-r1,,,,,,,,Not known ancestry,,,
38746746,o4-mini,,Subcategories of gut microbiota,,,,,,Not known ancestry,,,
38746746,gpt-4-1,,,,combines the two outcomes,,,,Not known ancestry,,,
38746746,gpt-4o,,,,,,,,Not known ancestry,,,
38746746,gpt-5,,Subcategories of gut microbiota,,combines the two outcomes,,,,Not known ancestry,,,
38746746,gpt-5-mini,,Subcategories of gut microbiota,,combines the two outcomes,,,,Not known ancestry,,,
36247759,llama3,,,,,,,,European,,,
36247759,llama3-2,,,,,,,,European,,,
36247759,deepseek-r1,,,,,,,,European,,,
36247759,o4-mini,,,,,,,,European,,,
36247759,gpt-4-1,,,,,,,,European,,,
36247759,gpt-4o,,,,,,,Missing sensitivity analysis methods,European,,,
36247759,gpt-5,,,,,,,,European,,,
36247759,gpt-5-mini,,,,,,,,European,,,
37422736,llama3,,,,,,,,European,,,
37422736,llama3-2,,,,,,,,European,,,
37422736,deepseek-r1,,,,,,,Missing sensitivity methods,European,,,
37422736,o4-mini,,,,,,,Missing sensitivity methods,European,,,
37422736,gpt-4-1,,,,,,,,European,,,
37422736,gpt-4o,,,,,,,,European,,,
37422736,gpt-5,,,,,,,,European,,,
37422736,gpt-5-mini,,,,,,,,European,,,
36924037,llama3,,,,,,,Missing sensitivity methods,European,,,
36924037,llama3-2,,,,,,,Missing sensitivity methods,European,,,
36924037,deepseek-r1,,,,,,,,European,,,
36924037,o4-mini,,,,,,,,European,,,
36924037,gpt-4-1,,,,,,,,European,,,
36924037,gpt-4o,,,,,,,Missing subcategories,European,,,
36924037,gpt-5,Bidirectional MR,,,,,,,European,,,
36924037,gpt-5-mini,Bidirectional MR,,,,,,,European,,,
37916108,llama3,,,,Includes outcome supercategory,,,,No specific ancestry and empty list,,,
37916108,llama3-2,,,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
37916108,deepseek-r1,,,,,,,,No specific ancestry but more details on general dataset charecteristics,,,
37916108,o4-mini,,,,,,,,,,,
37916108,gpt-4-1,,,,,,,,,,,
37916108,gpt-4o,,,,,,,,,,,
37916108,gpt-5,,,,,,,,,,,
37916108,gpt-5-mini,,,,,,,,,,,
38716647,llama3,,,,,,,,European,,,
38716647,llama3-2,,,,,,,,European,,,
38716647,deepseek-r1,,,,,,,,European,,,
38716647,o4-mini,,,,,,,,European,,,
38716647,gpt-4-1,,,,,,,,European,,,
38716647,gpt-4o,,,,,,,,European,,,
38716647,gpt-5,,,,,,,,European,,,
38716647,gpt-5-mini,,Includes genetic liability,,,,,,European,,,
37565992,llama3,,Provides details on specific amino acids,,Provides details on specific neurodegenerative diseases,,,Missing one method,Not known ancestry,,,
37565992,llama3-2,,Provides all the amino acids under study,,Provides details on specific neurodegenerative diseases,,,,Not known ancestry,,,
37565992,deepseek-r1,,Provides details on specific amino acids,,Provides details on specific neurodegenerative diseases sub and superegory,,,,Not known ancestry,,,
37565992,o4-mini,,Provides all the amino acids under study,,Provides details on specific neurodegenerative diseases,,,,Not known ancestry,,,
37565992,gpt-4-1,,Provides all the amino acids under study,,Provides details on specific neurodegenerative diseases,,,Missing sensitivity analysis,Not known ancestry,,,
37565992,gpt-4o,,Provides all the amino acids under study,,Provides details on specific neurodegenerative diseases,,,Missing sensitivity analysis,Not known ancestry,,,
37565992,gpt-5,,Provides all the amino acids under study,,Provides details on specific neurodegenerative diseases,,,,Not known ancestry,,,
37565992,gpt-5-mini,,Provides all the amino acids under study,,Provides details on specific neurodegenerative diseases,,,,Not known ancestry,,,
38263277,llama3,Very good at categorising cancers as neoplasm,,,,,,,Not known ancestry,,,
38263277,llama3-2,Very good at categorising cancers as neoplasm,,,,,,,Not known ancestry,,,
38263277,deepseek-r1,Very good at categorising cancers as neoplasm,Includes SNPs as exposure,,,,,,Not known ancestry,,,
38263277,o4-mini,,,,,,,,Not known ancestry,,,
38263277,gpt-4-1,,,,,,,,Not known ancestry,,,
38263277,gpt-4o,,,,,,,,Not known ancestry,,,
38263277,gpt-5,,,,,,,,Not known ancestry,,,
38263277,gpt-5-mini,,,,,,,,Not known ancestry,,,
35615025,llama3,methods review paper,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35615025,llama3-2,methods review paper,"methods review paper, model hallucinated",,Hallucinated,,,,Not known ancestry,,Did not extract at all,Did not extract any data
35615025,deepseek-r1,methods review paper,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35615025,o4-mini,methods review paper,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35615025,gpt-4-1,methods review paper,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35615025,gpt-4o,methods review paper,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35615025,gpt-5,methods review paper,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35615025,gpt-5-mini,methods review paper,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
38280379,llama3,,,,,,,,European,,,
38280379,llama3-2,,,,,,,,European,,,
38280379,deepseek-r1,,,,Keeps extracting SNPs as exposure,,,,European,,,
38280379,o4-mini,,,,,,,,European,,,
38280379,gpt-4-1,,,,,,,,European,,,
38280379,gpt-4o,,,,,,,,European,,,
38280379,gpt-5,,,,,,,,European,,,
38280379,gpt-5-mini,,,,,,,,European,,,
23900446,llama3,,,,,,,,Details on dataset,,,
23900446,llama3-2,,,,,,,,Details on dataset,,,
23900446,deepseek-r1,,Extracted SNPs as exposure,Missing out the exposure,,Missing two outcomes,,,Did not extract at all,Did not extract any data,,
23900446,o4-mini,,,,,,,,Details on dataset,,,
23900446,gpt-4-1,,,,,,,,Details on dataset,,,
23900446,gpt-4o,,,,,,Other category with no details,,Details on dataset,,,
23900446,gpt-5,,,,,,,,Details on dataset,,,
23900446,gpt-5-mini,,Extracts SNPs as exposure,,,,,,Details on dataset,,,
38264282,llama3,,,,,,,,Not known ancestry,,,
38264282,llama3-2,,,,,,,,Not known ancestry,,,
38264282,deepseek-r1,,,,,,,,Not known ancestry,,,
38264282,o4-mini,,,,,,,,Not known ancestry,,,
38264282,gpt-4-1,,,,,,,,Not known ancestry,,,
38264282,gpt-4o,,,,,,Other category with no details,,Not known ancestry,,,
38264282,gpt-5,,,,,,,,Not known ancestry,,,
38264282,gpt-5-mini,,,,,,,,Not known ancestry,,,
37158995,llama3,,,,Reports the supercategory of outcome Epilepsy,,,,Not known ancestry,,,
37158995,llama3-2,,,,Reports outcome subtypes,,,,Not known ancestry,,,
37158995,deepseek-r1,,,,Reports outcome subtypes,,missing specific methods,Missing subcategories of methods,Not known ancestry,,,
37158995,o4-mini,,,,Reports the supercategory of outcome Epilepsy,,,,Not known ancestry,,,
37158995,gpt-4-1,,,,Reports the supercategory  and broad category of outcome Epilepsy,,,,Not known ancestry,,,
37158995,gpt-4o,,,,Reports the supercategory of outcome Epilepsy,,,Missing subcategories,Not known ancestry,,,
37158995,gpt-5,,,,Reports the supercategory  and broad category of outcome Epilepsy,,,,Not known ancestry,,,
37158995,gpt-5-mini,,,,Reports the supercategory  and broad category of outcome Epilepsy,,,,Not known ancestry,,,
37668928,llama3,,,,Includes the PCOS supercategory,,,,European and East Asian ,,,
37668928,llama3-2,,,,,,,,European and East Asian ,,,
37668928,deepseek-r1,,,,,,,,European and East Asian ,,,
37668928,o4-mini,,,,,,,,European and East Asian and more details,,,
37668928,gpt-4-1,,,,,,,,European and East Asian and more details,,,
37668928,gpt-4o,,,,,,,,European and East Asian ,,,
37668928,gpt-5,,,,,,,,European and East Asian and more details,,,
37668928,gpt-5-mini,,,,,,,,European and East Asian and more details,,,
21282362,llama3,,,,,,,,Details on dataset,,,
21282362,llama3-2,,,,,,,,Details on dataset,,,
21282362,deepseek-r1,,Extracts SNPs as exposure,,,,Method not extracted,,Details on dataset,Did not extract the population,,
21282362,o4-mini,,,,,,,,Details on dataset,,,
21282362,gpt-4-1,,,,,,,,Details on dataset,,,
21282362,gpt-4o,,,,,,,,Details on dataset,,,
21282362,gpt-5,,,,,,,,Details on dataset,,,
21282362,gpt-5-mini,,,,,,,,Details on dataset,,,
32309857,llama3,,,,,,,,Mexican individuals,,,
32309857,llama3-2,,,,,,,,Mexican individuals,,,
32309857,deepseek-r1,,Extracts SNPs as exposure,,,,,,Mexican individuals,,,
32309857,o4-mini,,,,,,,,,,,
32309857,gpt-4-1,,,,,,,,,,,
32309857,gpt-4o,,,,,,,,,,,
32309857,gpt-5,,,,,,,,,,,
32309857,gpt-5-mini,,,,,,,,,,,
32493397,llama3,,,,,,,,European,,,
32493397,llama3-2,,,,,,,,European,,,
32493397,deepseek-r1,,,,,Missing 4 outcomes,,,European,,,
32493397,o4-mini,,,,,,,,European,,,
32493397,gpt-4-1,,,,,,,,European,,,
32493397,gpt-4o,,,,,,,,European,,,
32493397,gpt-5,,,,,,,,European,,,
32493397,gpt-5-mini,,,,,,,,European,,,
31733098,llama3,,,,,,,,Details on dataset,,,
31733098,llama3-2,,,,,,,,Details on dataset,,,
31733098,deepseek-r1,,,,,,,,Details on dataset,,,
31733098,o4-mini,Bidirectional MR,,,,,,,Details on dataset,,,
31733098,gpt-4-1,Bidirectional MR,,,,,,missing subcategories,Details on dataset,,,
31733098,gpt-4o,,,,,,,Missing subcategories,Details on dataset,,,
31733098,gpt-5,Bidirectional MR,,,,,,,More details on dataset,,,
31733098,gpt-5-mini,Bidirectional MR,,,,,,,More details on dataset,,,
37789337,llama3,,,,,,,,No specific population mentioned,,,
37789337,llama3-2,,,,,,,,No specific population mentioned,,,
37789337,deepseek-r1,,Genetic variants of gut microbiome,,,,,,No specific population mentioned,,,
37789337,o4-mini,,,,,,,,No specific population mentioned,,,
37789337,gpt-4-1,,,,,,,,No specific population mentioned,,,
37789337,gpt-4o,,,,,,,,No specific population mentioned,,,
37789337,gpt-5,,,,,,,,More details on dataset,,,
37789337,gpt-5-mini,,,,,,,,More details on dataset,,,
37904919,llama3,provides details of maternal and featal proteome,,,,,,,No specific population mentioned,,,
37904919,llama3-2,provides details of maternal and featal proteome,,,,,,,No specific population mentioned,,,
37904919,deepseek-r1,provides details of maternal and featal proteome,,,,,,,No specific population mentioned,,,
37904919,o4-mini,,,,,,,,No specific population mentioned,,,
37904919,gpt-4-1,,subcategories reported together,,,,,,No specific population mentioned,,,
37904919,gpt-4o,,,,,,,,Empty list,,,
37904919,gpt-5,,,,,,,,More details on dataset,,,
37904919,gpt-5-mini,,,,,,,,More details on dataset,,,
38725159,llama3,,,,,,,,European,,,
38725159,llama3-2,,,,,,,,European,,,
38725159,deepseek-r1,,Includes broad category,,,,,,European,,,
38725159,o4-mini,,,,,,,,,,,
38725159,gpt-4-1,,,,,,,,,,,
38725159,gpt-4o,,,,,,,,,,,
38725159,gpt-5,,,,,,,,,,,
38725159,gpt-5-mini,,,,,,,,,,,
38053214,llama3,,,Missing two exposures,,,,,No specific population mentioned with more detauils,,,
38053214,llama3-2,,Includes broad category,,,,,,No specific population mentioned with more detauils,,,
38053214,deepseek-r1,,,Missing two exposures,,,,,No specific population mentioned with more detauils,,,
38053214,o4-mini,,Includes broad category,,,,,,No specific population mentioned with more detauils,,,
38053214,gpt-4-1,,Includes broad category,,,,,,No specific population mentioned with more detauils,,,
38053214,gpt-4o,,Includes broad category,Missing two exposures,,,Missing details for other category,,No specific population mentioned,,,
38053214,gpt-5,,,,,,,,No specific population mentioned with more detauils,,,
38053214,gpt-5-mini,,Includes Broad category,,,,,,No specific population mentioned with more detauils,,,
33125193,llama3,,,,,,,,UKB,,,
33125193,llama3-2,,,,,,,,UKB,,,
33125193,deepseek-r1,,,,,,,,UKB,,,
33125193,o4-mini,,,,,,,,UKB,,,
33125193,gpt-4-1,,,,,,,,UKB,,,
33125193,gpt-4o,,,,,,,,UKB,,,
33125193,gpt-5,,,,,,,,UKB,,,
33125193,gpt-5-mini,,,,,,,,UKB,,,
38246357,llama3,,,,,,,,Chinese,,,
38246357,llama3-2,,,,,,,,Chinese,,,
38246357,deepseek-r1,,,,,,,,Chinese,,,
38246357,o4-mini,,,,,,,,Chinese,,,
38246357,gpt-4-1,,,,,,,,Chinese,,,
38246357,gpt-4o,,,,,,,,Chinese,,,
38246357,gpt-5,,Includes genetic liability,,,,,,Chinese,,,
38246357,gpt-5-mini,,,,,,,,Chinese,,,
37787818,llama3,,,,,,,,UKB,,,
37787818,llama3-2,,,,,,,,UKB,,,
37787818,deepseek-r1,,,,,,,,UKB,,,
37787818,o4-mini,,,,,,,,,,,
37787818,gpt-4-1,,,,,,,,,,,
37787818,gpt-4o,,,,,,,,,,,
37787818,gpt-5,,,,,,,,,,,
37787818,gpt-5-mini,,,,,,,,,,,
38765751,llama3,,,,,,,,No specific population mentioned with more detauils,,,
38765751,llama3-2,,,,,,,,No specific population mentioned with more detauils,,,
38765751,deepseek-r1,,,Missing coffee intake,included coffee intake which is wrong,,,,No specific population mentioned with more detauils,,,
38765751,o4-mini,,,,,,,,No specific population mentioned with more detauils,,,
38765751,gpt-4-1,,,,,,,,No specific population mentioned with more detauils,,,
38765751,gpt-4o,,,,,,,,No specific population mentioned,,,
38765751,gpt-5,,,,,,,,No specific population mentioned with more detauils,,,
38765751,gpt-5-mini,,Includes broad category,,,,,,No specific population mentioned with more detauils,,,
31908803,llama3,,,,,,,,European,,,
31908803,llama3-2,,,,,,,,European,,,
31908803,deepseek-r1,,,,,,,,European,,,
31908803,o4-mini,,,,,,,,European,,,
31908803,gpt-4-1,,,,,,,,European,,,
31908803,gpt-4o,,,,,,,,European,,,
31908803,gpt-5,,,,,,,,European,,,
31908803,gpt-5-mini,,,,,,,,European,,,
